"","縣市","年","年齡別","就診人數"
"321","彰化縣","2015","二十五到六十四",6805464
"322","彰化縣","2015","零到四",989966
"323","彰化縣","2015","六十五以上",3397327
"324","彰化縣","2015","十五到二十四",985317
"325","彰化縣","2015","五到十四",1322773
"326","彰化縣","2016","二十五到六十四",6913267
"327","彰化縣","2016","零到四",1006643
"328","彰化縣","2016","六十五以上",3542493
"329","彰化縣","2016","十五到二十四",1011236
"330","彰化縣","2016","五到十四",1337069

